distance,direction,headingChange
0,-180,-179.9999999999993
0,-170,-166.0118443345005
0,-160,-153.70802551233524
0,-150,-142.6830913033076
0,-140,-132.6317225489587
0,-130,-123.31630499966575
0,-120,-114.54552595062033
0,-110,-106.1596371048232
0,-100,-98.01981214391864
0,-90,-89.99999999999902
0,-80,-81.9801878560793
0,-70,-73.84036289517398
0,-60,-65.45447404937846
0,-50,-56.68369500033211
0,-40,-47.36827745103912
0,-30,-37.316908696689744
0,-20,-26.291974487665616
0,-10,-13.988155665500262
0,0,-1.3105072582675334E-15
0,10,13.988155665500454
0,20,26.291974487665936
0,30,37.31690869668955
0,40,47.3682774510388
0,50,56.68369500033231
0,60,65.4544740493782
0,70,73.84036289517331
0,80,81.9801878560779
0,90,89.9999999999989
0,100,98.01981214392015
0,110,106.15963710482414
0,120,114.54552595062063
0,130,123.31630499966548
0,140,132.63172254895957
0,150,142.68309130330812
0,160,153.708025512333
0,170,166.01184433449825
0,180,179.99999999999903
10,-180,-179.9999999999993
10,-170,-166.0118443345005
10,-160,-153.70802551233524
10,-150,-142.6830913033076
10,-140,-132.6317225489587
10,-130,-123.31630499966575
10,-120,-114.54552595062033
10,-110,-106.1596371048232
10,-100,-98.01981214391864
10,-90,-89.99999999999902
10,-80,-81.9801878560793
10,-70,-73.84036289517398
10,-60,-65.45447404937846
10,-50,-56.68369500033211
10,-40,-47.36827745103912
10,-30,-37.316908696689744
10,-20,-26.291974487665616
10,-10,-13.988155665500262
10,0,-1.3105072582675334E-15
10,10,13.988155665500454
10,20,26.291974487665936
10,30,37.31690869668955
10,40,47.3682774510388
10,50,56.68369500033231
10,60,65.4544740493782
10,70,73.84036289517331
10,80,81.9801878560779
10,90,89.9999999999989
10,100,98.01981214392015
10,110,106.15963710482414
10,120,114.54552595062063
10,130,123.31630499966548
10,140,132.63172254895957
10,150,142.68309130330812
10,160,153.708025512333
10,170,166.01184433449825
10,180,179.99999999999903
20,-180,-179.9999999999993
20,-170,-166.0118443345005
20,-160,-153.70802551233524
20,-150,-142.6830913033076
20,-140,-132.6317225489587
20,-130,-123.31630499966575
