distance,direction,headingChange
0,-180,-179.9999999999993
0,-144,-136.55172413793127
0,-108,-104.51612903225771
0,-72,-75.4838709677409
0,-36,-43.448275862067895
0,0,-1.3105072582675334E-15
0,36,43.44827586206849
0,72,75.48387096774134
0,108,104.516129032257
0,144,136.55172413792937
0,180,179.99999999999903
10,-180,-179.9999999999993
10,-144,-136.55172413793127
10,-108,-104.51612903225771
10,-72,-75.4838709677409
10,-36,-43.448275862067895
10,0,-1.3105072582675334E-15
10,36,43.44827586206849
10,72,75.48387096774134
10,108,104.516129032257
10,144,136.55172413792937
10,180,179.99999999999903
20,-180,-179.9999999999993
20,-144,-136.55172413793127
20,-108,-104.51612903225771
20,-72,-75.4838709677409
20,-36,-43.448275862067895
20,0,-1.3105072582675334E-15
20,36,43.44827586206849
20,72,75.48387096774134
20,108,104.516129032257
20,144,136.55172413792937
20,180,179.99999999999903
30,-180,-179.9999999999993
30,-144,-136.55172413793127
30,-108,-104.51612903225771
30,-72,-75.4838709677409
30,-36,-43.448275862067895
30,0,-1.3105072582675334E-15
30,36,43.44827586206849
30,72,75.48387096774134
30,108,104.516129032257
30,144,136.55172413792937
30,180,179.99999999999903
40,-180,-179.9999999999993
40,-144,-136.55172413793127
40,-108,-104.51612903225771
40,-72,-75.4838709677409
40,-36,-43.448275862067895
40,0,-1.3105072582675334E-15
40,36,43.44827586206849
40,72,75.48387096774134
40,108,104.516129032257
40,144,136.55172413792937
40,180,179.99999999999903
50,-180,-179.9999999999993
50,-144,-136.55172413793127
50,-108,-104.51612903225771
50,-72,-75.4838709677409
50,-36,-43.448275862067895
50,0,-1.3105072582675334E-15
50,36,43.44827586206849
50,72,75.48387096774134
50,108,104.516129032257
50,144,136.55172413792937
50,180,179.99999999999903
60,-180,-179.9999999999993
60,-144,-136.55172413793127
60,-108,-104.51612903225771
60,-72,-75.4838709677409
60,-36,-43.448275862067895
60,0,-1.3105072582675334E-15
60,36,43.44827586206849
60,72,75.48387096774134
60,108,104.516129032257
60,144,136.55172413792937
60,180,179.99999999999903
70,-180,-179.9999999999993
70,-144,-136.55172413793127
70,-108,-104.51612903225771
70,-72,-75.4838709677409
70,-36,-43.448275862067895
70,0,-1.3105072582675334E-15
70,36,43.44827586206849
70,72,75.48387096774134
70,108,104.516129032257
70,144,136.55172413792937
70,180,179.99999999999903
80,-180,-179.9999999999993
80,-144,-136.55172413793127
80,-108,-104.51612903225771
80,-72,-75.4838709677409
80,-36,-43.448275862067895
80,0,-1.3105072582675334E-15
80,36,43.44827586206849
80,72,75.48387096774134
80,108,104.516129032257
80,144,136.55172413792937
80,180,179.99999999999903
90,-180,-179.9999999999993
90,-144,-136.55172413793127
90,-108,-104.51612903225771
90,-72,-75.4838709677409
90,-36,-43.448275862067895
90,0,-1.3105072582675334E-15
90,36,43.44827586206849
90,72,75.48387096774134
90,108,104.516129032257
90,144,136.55172413792937
90,180,179.99999999999903
100,-180,-179.9999999999993
100,-144,-136.55172413793127
100,-108,-104.51612903225771
100,-72,-75.4838709677409
100,-36,-43.448275862067895
100,0,-1.3105072582675334E-15
100,36,43.44827586206849
100,72,75.48387096774134
100,108,104.516129032257
100,144,136.55172413792937
100,180,179.99999999999903
