distance,position,headingChange
0,-180,-1.3105072582675334E-15
0,-170,-1.3105072582675334E-15
0,-160,-1.3105072582675334E-15
0,-150,-1.3105072582675334E-15
0,-140,-1.3105072582675334E-15
0,-130,-1.3105072582675334E-15
0,-120,-1.3105072582675334E-15
0,-110,-1.3105072582675334E-15
0,-100,-1.3105072582675334E-15
0,-90,-1.3105072582675334E-15
0,-80,-1.3105072582675334E-15
0,-70,-1.3105072582675334E-15
0,-60,-1.3105072582675334E-15
0,-50,-1.3105072582675334E-15
0,-40,-1.3105072582675334E-15
0,-30,-1.3105072582675334E-15
0,-20,-1.3105072582675334E-15
0,-10,-1.3105072582675334E-15
0,0,-1.3105072582675334E-15
0,10,-1.3105072582675334E-15
0,20,-1.3105072582675334E-15
0,30,-1.3105072582675334E-15
0,40,-1.3105072582675334E-15
0,50,-1.3105072582675334E-15
0,60,-1.3105072582675334E-15
0,70,-1.3105072582675334E-15
0,80,-1.3105072582675334E-15
0,90,-1.3105072582675334E-15
0,100,-1.3105072582675334E-15
0,110,-1.3105072582675334E-15
0,120,-1.3105072582675334E-15
0,130,-1.3105072582675334E-15
0,140,-1.3105072582675334E-15
0,150,-1.3105072582675334E-15
0,160,-1.3105072582675334E-15
0,170,-1.3105072582675334E-15
0,180,-1.3105072582675334E-15
10,-180,-37.31690869668978
10,-170,-37.31690869668978
10,-160,-37.31690869668978
10,-150,-37.31690869668978
10,-140,-37.31690869668978
10,-130,-37.31690869668978
10,-120,-37.31690869668978
10,-110,-37.31690869668978
10,-100,-37.31690869668978
10,-90,-37.31690869668978
10,-80,-37.31690869668978
10,-70,-37.31690869668978
10,-60,-37.31690869668978
10,-50,-37.31690869668978
10,-40,-37.31690869668978
10,-30,-37.316908696689744
10,-20,-26.666524443977075
10,-10,-14.324235500057629
10,0,-2.0057628970018473E-14
10,10,14.324235500057792
10,20,26.666524443977334
10,30,37.31690869668955
10,40,37.31690869668955
10,50,37.31690869668955
10,60,37.31690869668955
10,70,37.31690869668955
10,80,37.31690869668955
10,90,37.31690869668955
10,100,37.31690869668955
10,110,37.31690869668955
10,120,37.31690869668955
10,130,37.31690869668955
10,140,37.31690869668955
10,150,37.31690869668955
10,160,37.31690869668955
10,170,37.31690869668955
10,180,37.31690869668955
20,-180,-65.45447404937846
20,-170,-65.45447404937846
20,-160,-65.45447404937846
