distance,position,headingChange
0,-180,-1.3105072582675334E-15
0,-144,-1.3105072582675334E-15
0,-108,-1.3105072582675334E-15
0,-72,-1.3105072582675334E-15
0,-36,-1.3105072582675334E-15
0,0,-1.3105072582675334E-15
0,36,-1.3105072582675334E-15
0,72,-1.3105072582675334E-15
0,108,-1.3105072582675334E-15
0,144,-1.3105072582675334E-15
0,180,-1.3105072582675334E-15
10,-180,-37.31690869668978
10,-144,-37.31690869668978
10,-108,-37.31690869668978
10,-72,-37.31690869668978
10,-36,-37.31690869668978
10,0,-2.0057628970018473E-14
10,36,37.31690869668955
10,72,37.31690869668955
10,108,37.31690869668955
10,144,37.31690869668955
10,180,37.31690869668955
20,-180,-65.45447404937846
20,-144,-65.45447404937846
20,-108,-65.45447404937846
20,-72,-65.45447404937846
20,-36,-46.28586542323331
20,0,2.6184159660910625E-15
20,36,46.285865423233645
20,72,65.4544740493782
20,108,65.4544740493782
20,144,65.4544740493782
20,180,65.4544740493782
30,-180,-89.99999999999902
30,-144,-89.99999999999902
30,-108,-89.99999999999902
30,-72,-81.39130434782483
30,-36,-53.05263157894632
30,0,-1.7473430110233774E-15
30,36,53.052631578947015
30,72,81.39130434782483
30,108,89.9999999999989
30,144,89.9999999999989
30,180,89.9999999999989
40,-180,-114.54552595062032
40,-144,-114.54552595062032
40,-108,-104.51612903225771
40,-72,-75.4838709677409
40,-36,-46.28586542323331
40,0,2.6184159660910625E-15
40,36,46.285865423233645
40,72,75.48387096774134
40,108,104.516129032257
40,144,114.54552595062063
40,180,114.54552595062063
50,-180,-142.6830913033076
50,-144,-136.55172413793127
50,-108,-104.51612903225771
50,-72,-75.4838709677409
50,-36,-43.448275862067895
50,0,-2.0057628970018473E-14
50,36,43.44827586206849
50,72,75.48387096774134
50,108,104.516129032257
50,144,136.55172413792937
50,180,142.68309130330812
60,-180,-179.9999999999993
60,-144,-136.55172413793127
60,-108,-104.51612903225771
60,-72,-75.4838709677409
60,-36,-43.448275862067895
60,0,-1.3105072582675334E-15
60,36,43.44827586206849
60,72,75.48387096774134
60,108,104.516129032257
60,144,136.55172413792937
60,180,179.99999999999903
70,-180,-179.9999999999993
70,-144,-136.55172413793127
70,-108,-104.51612903225771
70,-72,-75.4838709677409
70,-36,-43.448275862067895
70,0,-1.3105072582675334E-15
70,36,43.44827586206849
70,72,75.48387096774134
70,108,104.516129032257
70,144,136.55172413792937
70,180,179.99999999999903
80,-180,-179.9999999999993
80,-144,-136.55172413793127
80,-108,-104.51612903225771
80,-72,-75.4838709677409
80,-36,-43.448275862067895
80,0,-1.3105072582675334E-15
80,36,43.44827586206849
80,72,75.48387096774134
80,108,104.516129032257
80,144,136.55172413792937
80,180,179.99999999999903
90,-180,-179.9999999999993
90,-144,-136.55172413793127
90,-108,-104.51612903225771
90,-72,-75.4838709677409
90,-36,-43.448275862067895
90,0,-1.3105072582675334E-15
90,36,43.44827586206849
90,72,75.48387096774134
90,108,104.516129032257
90,144,136.55172413792937
90,180,179.99999999999903
100,-180,-179.9999999999993
100,-144,-136.55172413793127
100,-108,-104.51612903225771
100,-72,-75.4838709677409
100,-36,-43.448275862067895
100,0,-1.3105072582675334E-15
100,36,43.44827586206849
100,72,75.48387096774134
100,108,104.516129032257
100,144,136.55172413792937
100,180,179.99999999999903
