distance,position,headingChange
0,-180,0.0
0,-144,0.0
0,-108,0.0
0,-72,0.0
0,-36,0.0
0,0,0.0
0,36,0.0
0,72,0.0
0,108,0.0
0,144,0.0
0,180,0.0
10,-180,-18.0
10,-144,-18.0
10,-108,-18.0
10,-72,-18.0
10,-36,-18.0
10,0,0.0
10,36,18.0
10,72,18.0
10,108,18.0
10,144,18.0
10,180,18.0
20,-180,-45.360000000000014
20,-144,-45.360000000000014
20,-108,-45.360000000000014
20,-72,-45.360000000000014
20,-36,-27.360000000000014
20,0,0.0
20,36,26.639999999999986
20,72,44.639999999999986
20,108,44.639999999999986
20,144,44.639999999999986
20,180,44.639999999999986
30,-180,-90.0
30,-144,-90.0
30,-108,-90.0
30,-72,-72.0
30,-36,-36.0
30,0,0.0
30,36,36.0
30,72,72.0
30,108,90.0
30,144,90.0
30,180,90.0
40,-180,-135.36
40,-144,-135.36
40,-108,-120.24000000000001
40,-72,-59.75999999999999
40,-36,-27.360000000000014
40,0,0.0
40,36,26.639999999999986
40,72,59.75999999999999
40,108,120.24000000000001
40,144,134.64
40,180,134.64
50,-180,-162.0
50,-144,-157.68
50,-108,-120.24000000000001
50,-72,-59.75999999999999
50,-36,-22.319999999999993
50,0,0.0
50,36,22.319999999999993
50,72,59.75999999999999
50,108,120.24000000000001
50,144,157.67999999999995
50,180,162.0
60,-180,-180.0
60,-144,-157.68
60,-108,-120.24000000000001
60,-72,-59.75999999999999
60,-36,-22.319999999999993
60,0,0.0
60,36,22.319999999999993
60,72,59.75999999999999
60,108,120.24000000000001
60,144,157.67999999999995
60,180,180.0
70,-180,-180.0
70,-144,-157.68
70,-108,-120.24000000000001
70,-72,-59.75999999999999
70,-36,-22.319999999999993
70,0,0.0
70,36,22.319999999999993
70,72,59.75999999999999
70,108,120.24000000000001
70,144,157.67999999999995
70,180,180.0
80,-180,-180.0
80,-144,-157.68
80,-108,-120.24000000000001
80,-72,-59.75999999999999
80,-36,-22.319999999999993
80,0,0.0
80,36,22.319999999999993
80,72,59.75999999999999
80,108,120.24000000000001
80,144,157.67999999999995
80,180,180.0
90,-180,-180.0
90,-144,-157.68
90,-108,-120.24000000000001
90,-72,-59.75999999999999
90,-36,-22.319999999999993
90,0,0.0
90,36,22.319999999999993
90,72,59.75999999999999
90,108,120.24000000000001
90,144,157.67999999999995
90,180,180.0
100,-180,-180.0
100,-144,-157.68
100,-108,-120.24000000000001
100,-72,-59.75999999999999
100,-36,-22.319999999999993
100,0,0.0
100,36,22.319999999999993
100,72,59.75999999999999
100,108,120.24000000000001
100,144,157.67999999999995
100,180,180.0
