distance,position,headingChange
0,-180,0.0
0,-144,0.0
0,-108,0.0
0,-72,0.0
0,-36,0.0
0,0,0.0
0,36,0.0
0,72,0.0
0,108,0.0
0,144,0.0
0,180,0.0
10,-180,0.3556626506024094
10,-144,0.3556626506024094
10,-108,0.3556626506024094
10,-72,0.3556626506024094
10,-36,0.3556626506024094
10,0,0.3556626506024094
10,36,0.3556626506024094
10,72,0.3556626506024094
10,108,0.3556626506024094
10,144,0.3556626506024094
10,180,0.3556626506024094
20,-180,0.3578443113772454
20,-144,0.3578443113772454
20,-108,0.3578443113772454
20,-72,0.3578443113772454
20,-36,0.3578443113772454
20,0,0.3578443113772454
20,36,0.3578443113772454
20,72,0.3578443113772454
20,108,0.3578443113772454
20,144,0.3578443113772454
20,180,0.3578443113772454
30,-180,0.17855999999999994
30,-144,0.17855999999999994
30,-108,0.17855999999999994
30,-72,0.3571199999999999
30,-36,0.3571199999999999
30,0,0.3571199999999999
30,36,0.3571199999999999
30,72,0.3571199999999999
30,108,0.5385599999999999
30,144,0.5385599999999999
30,180,0.5385599999999999
40,-180,-0.7200000000000001
40,-144,-0.7200000000000001
40,-108,-0.5436
40,-72,0.3563999999999999
40,-36,0.3578443113772454
40,0,0.3578443113772454
40,36,0.3578443113772454
40,72,0.3563999999999999
40,108,1.2564
40,144,1.435688622754491
40,180,1.435688622754491
50,-180,-1.8130120481927714
50,-144,-1.4472
50,-108,-0.5436
50,-72,0.3563999999999999
50,-36,0.3527999999999997
50,0,0.3556626506024094
50,36,0.3527999999999997
50,72,0.3563999999999999
50,108,1.2564
50,144,2.1527999999999996
50,180,2.52433734939759
60,-180,-180.0
60,-144,-1.4472
60,-108,-0.5436
60,-72,0.3563999999999999
60,-36,0.3527999999999997
60,0,0.0
60,36,0.3527999999999997
60,72,0.3563999999999999
60,108,1.2564
60,144,2.1527999999999996
60,180,180.0
70,-180,-180.0
70,-144,-1.4472
70,-108,-0.5436
70,-72,0.3563999999999999
70,-36,0.3527999999999997
70,0,0.0
70,36,0.3527999999999997
70,72,0.3563999999999999
70,108,1.2564
70,144,2.1527999999999996
70,180,180.0
80,-180,-180.0
80,-144,-1.4472
80,-108,-0.5436
80,-72,0.3563999999999999
80,-36,0.3527999999999997
80,0,0.0
80,36,0.3527999999999997
80,72,0.3563999999999999
80,108,1.2564
80,144,2.1527999999999996
80,180,180.0
90,-180,-180.0
90,-144,-1.4472
90,-108,-0.5436
90,-72,0.3563999999999999
90,-36,0.3527999999999997
90,0,0.0
90,36,0.3527999999999997
90,72,0.3563999999999999
90,108,1.2564
90,144,2.1527999999999996
90,180,180.0
100,-180,-180.0
100,-144,-1.4472
100,-108,-0.5436
100,-72,0.3563999999999999
100,-36,0.3527999999999997
100,0,0.0
100,36,0.3527999999999997
100,72,0.3563999999999999
100,108,1.2564
100,144,2.1527999999999996
100,180,180.0
