distance,position,headingChange
0,-180,0.0
0,-144,0.0
0,-108,0.0
0,-72,0.0
0,-36,0.0
0,0,0.0
0,36,0.0
0,72,0.0
0,108,0.0
0,144,0.0
0,180,0.0
10,-180,29.519999999999982
10,-144,29.519999999999982
10,-108,29.519999999999982
10,-72,29.519999999999982
10,-36,29.519999999999982
10,0,29.519999999999982
10,36,29.519999999999982
10,72,29.519999999999982
10,108,29.519999999999982
10,144,29.519999999999982
10,180,29.519999999999982
20,-180,59.75999999999999
20,-144,59.75999999999999
20,-108,59.75999999999999
20,-72,59.75999999999999
20,-36,59.75999999999999
20,0,59.75999999999999
20,36,59.75999999999999
20,72,59.75999999999999
20,108,59.75999999999999
20,144,59.75999999999999
20,180,59.75999999999999
30,-180,89.27999999999997
30,-144,89.27999999999997
30,-108,89.27999999999997
30,-72,89.27999999999997
30,-36,89.27999999999997
30,0,89.27999999999997
30,36,89.27999999999997
30,72,89.27999999999997
30,108,269.28
30,144,269.28
30,180,269.28
40,-180,-120.24000000000001
40,-144,-120.24000000000001
40,-108,-108.72
40,-72,71.27999999999997
40,-36,59.75999999999999
40,0,59.75999999999999
40,36,59.75999999999999
40,72,71.27999999999997
40,108,251.27999999999997
40,144,239.76
40,180,239.76
50,-180,-150.48000000000002
50,-144,-144.72
50,-108,-108.72
50,-72,71.27999999999997
50,-36,35.27999999999997
50,0,29.519999999999982
50,36,35.27999999999997
50,72,71.27999999999997
50,108,251.27999999999997
50,144,215.27999999999997
50,180,209.51999999999998
60,-180,-180.0
60,-144,-144.72
60,-108,-108.72
60,-72,71.27999999999997
60,-36,35.27999999999997
60,0,0.0
60,36,35.27999999999997
60,72,71.27999999999997
60,108,251.27999999999997
60,144,215.27999999999997
60,180,180.0
70,-180,-180.0
70,-144,-144.72
70,-108,-108.72
70,-72,71.27999999999997
70,-36,35.27999999999997
70,0,0.0
70,36,35.27999999999997
70,72,71.27999999999997
70,108,251.27999999999997
70,144,215.27999999999997
70,180,180.0
80,-180,-180.0
80,-144,-144.72
80,-108,-108.72
80,-72,71.27999999999997
80,-36,35.27999999999997
80,0,0.0
80,36,35.27999999999997
80,72,71.27999999999997
80,108,251.27999999999997
80,144,215.27999999999997
80,180,180.0
90,-180,-180.0
90,-144,-144.72
90,-108,-108.72
90,-72,71.27999999999997
90,-36,35.27999999999997
90,0,0.0
90,36,35.27999999999997
90,72,71.27999999999997
90,108,251.27999999999997
90,144,215.27999999999997
90,180,180.0
100,-180,-180.0
100,-144,-144.72
100,-108,-108.72
100,-72,71.27999999999997
100,-36,35.27999999999997
100,0,0.0
100,36,35.27999999999997
100,72,71.27999999999997
100,108,251.27999999999997
100,144,215.27999999999997
100,180,180.0
