distance,position,headingChange
0,-180,-1.3105072582675334E-15
0,-170,13.988155665500454
0,-160,26.291974487665936
0,-150,37.31690869668955
0,-140,47.3682774510388
0,-130,56.68369500033231
0,-120,65.4544740493782
0,-110,73.84036289517331
0,-100,81.9801878560779
0,-90,89.9999999999989
0,-80,98.01981214392015
0,-70,106.15963710482414
0,-60,114.54552595062063
0,-50,123.31630499966548
0,-40,132.63172254895957
0,-30,142.68309130330812
0,-20,153.708025512333
0,-10,166.01184433449825
0,0,-1.2467360477330717E-14
0,10,-166.0118443345005
0,20,-153.70802551233524
0,30,-142.6830913033076
0,40,-132.6317225489587
0,50,-123.31630499966575
0,60,-114.54552595062033
0,70,-106.1596371048232
0,80,-98.01981214391864
0,90,-89.99999999999902
0,100,-81.9801878560793
0,110,-73.84036289517398
0,120,-65.45447404937846
0,130,-56.68369500033211
0,140,-47.36827745103912
0,150,-37.316908696689744
0,160,-26.291974487665616
0,170,-13.988155665500262
0,180,-1.3105072582675334E-15
10,-180,-1.3313130181146285E-15
10,-170,14.15683229216381
10,-160,26.370684958072054
10,-150,37.31690869668955
10,-140,47.3682774510388
10,-130,56.68369500033231
10,-120,65.4544740493782
10,-110,73.84036289517331
10,-100,81.9801878560779
10,-90,89.9999999999989
10,-80,98.01981214392015
10,-70,106.15963710482414
10,-60,114.54552595062063
10,-50,123.31630499966548
10,-40,132.63172254895957
10,-30,137.0046089239308
10,-20,137.44580250124005
10,-10,137.44580250124005
10,0,-5.168804848350279E-15
10,10,-137.44580250124153
10,20,-137.44580250124153
10,30,-137.00460892393272
10,40,-132.6317225489587
10,50,-123.31630499966575
10,60,-114.54552595062033
10,70,-106.1596371048232
10,80,-98.01981214391864
10,90,-89.99999999999902
10,100,-81.9801878560793
10,110,-73.84036289517398
10,120,-65.45447404937846
10,130,-56.68369500033211
10,140,-47.36827745103912
10,150,-37.316908696689744
10,160,-26.370684958071738
10,170,-14.156832292163621
10,180,-1.3313130181146285E-15
20,-180,-1.397880373108294E-15
20,-170,14.825091323444646
20,-160,27.549536612801383
20,-150,38.49041566339178
20,-140,47.904050255884755
20,-130,56.68369500033231
20,-120,65.4544740493782
20,-110,73.84036289517331
20,-100,81.9801878560779
20,-90,89.9999999999989
20,-80,98.01981214392015
20,-70,105.04580534117905
20,-60,107.37911001133705
20,-50,109.24290581175636
20,-40,110.01848229826352
20,-30,110.01848229826352
20,-20,110.01848229826352
20,-10,110.01848229826352
20,0,1.6350403322866286E-14
20,10,-110.01848229826484
20,20,-110.01848229826484
20,30,-110.01848229826484
20,40,-110.01848229826484
20,50,-109.24290581175761
20,60,-107.37911001133773
20,70,-105.0458053411796
20,80,-98.01981214391864
20,90,-89.99999999999902
20,100,-81.9801878560793
20,110,-73.84036289517398
20,120,-65.45447404937846
20,130,-56.68369500033211
20,140,-47.90405025588509
20,150,-38.490415663391836
20,160,-27.54953661280134
20,170,-14.825091323444447
20,180,-1.397880373108294E-15
30,-180,-3.539135288908783E-14
30,-170,16.090978909319684
30,-160,29.767277420134107
30,-150,41.42112902827529
30,-140,51.364179706744345
30,-130,59.84717345941261
30,-120,67.07413622140709
30,-110,73.84036289517331
30,-100,79.58466435985996
30,-90,83.95522388059617
30,-80,87.57414814691862
30,-70,90.54813765902529
30,-60,91.2029209892277
30,-50,91.2029209892277
30,-40,91.2029209892277
30,-30,91.2029209892277
30,-20,91.2029209892277
30,-10,91.2029209892277
30,0,-4.7453348787656793E-14
30,10,-91.2029209892272
30,20,-91.2029209892272
30,30,-91.2029209892272
30,40,-91.2029209892272
30,50,-91.2029209892272
30,60,-91.2029209892272
30,70,-90.54813765902412
30,80,-87.57414814691774
30,90,-83.95522388059592
30,100,-79.58466435986065
30,110,-73.84036289517398
30,120,-67.07413622140722
30,130,-59.847173459412474
30,140,-51.364179706744764
30,150,-41.421129028274926
30,160,-29.76727742013428
30,170,-16.090978909319528
30,180,-3.539135288908783E-14
40,-180,-1.2733795499523586E-14
40,-170,14.496577680525007
40,-160,26.97072199170083
40,-150,37.72160946745464
40,-140,46.99218045112662
40,-130,54.981759425492974
40,-120,61.85542268041176
40,-110,67.7510510708384
40,-100,72.78470886075779
40,-90,77.05479452054689
40,-80,77.05479452054689
40,-70,77.05479452054689
40,-60,77.05479452054689
40,-50,77.05479452054689
40,-40,77.05479452054689
40,-30,77.05479452054689
40,-20,77.05479452054689
40,-10,77.05479452054689
40,0,4.296155268269911E-14
40,10,-77.05479452054672
40,20,-77.05479452054672
40,30,-77.05479452054672
40,40,-77.05479452054672
40,50,-77.05479452054672
40,60,-77.05479452054672
40,70,-77.05479452054672
40,80,-77.05479452054672
40,90,-77.05479452054672
40,100,-72.78470886075834
40,110,-67.7510510708391
40,120,-61.85542268041119
40,130,-54.98175942549265
40,140,-46.99218045112679
40,150,-37.721609467454705
40,160,-26.970721991700596
40,170,-14.496577680524805
40,180,-1.2733795499523586E-14
50,-180,-1.3105072582675334E-15
50,-170,13.9472336842104
50,-160,25.999775999999876
50,-150,36.428297142856046
50,-140,45.45425454545346
50,-130,53.260591304347166
50,-120,59.999759999999625
50,-110,64.4316218181809
50,-100,64.4316218181809
50,-90,64.4316218181809
50,-80,64.4316218181809
50,-70,64.4316218181809
50,-60,64.4316218181809
50,-50,64.4316218181809
50,-40,64.4316218181809
50,-30,64.4316218181809
50,-20,64.4316218181809
50,-10,64.4316218181809
50,0,3.77227138415039E-14
50,10,-64.43162181818087
50,20,-64.43162181818087
50,30,-64.43162181818087
50,40,-64.43162181818087
50,50,-64.43162181818087
50,60,-64.43162181818087
50,70,-64.43162181818087
50,80,-64.43162181818087
50,90,-64.43162181818087
50,100,-64.43162181818087
50,110,-64.43162181818087
50,120,-59.9997599999991
50,130,-53.26059130434698
50,140,-45.45425454545374
50,150,-36.42829714285643
50,160,-25.999775999999486
50,170,-13.94723368421022
50,180,-1.3105072582675334E-15
60,-180,-1.3105072582675334E-15
60,-170,13.9472336842104
60,-160,25.999775999999876
60,-150,36.428297142856046
60,-140,45.45425454545346
60,-130,49.499711999999114
60,-120,49.499711999999114
60,-110,49.499711999999114
60,-100,49.499711999999114
60,-90,49.499711999999114
60,-80,49.499711999999114
60,-70,49.499711999999114
60,-60,49.499711999999114
60,-50,49.499711999999114
60,-40,49.499711999999114
60,-30,49.499711999999114
60,-20,49.499711999999114
60,-10,49.499711999999114
60,0,3.540871299871182E-16
60,10,-49.499711999999086
60,20,-49.499711999999086
60,30,-49.499711999999086
60,40,-49.499711999999086
60,50,-49.499711999999086
60,60,-49.499711999999086
60,70,-49.499711999999086
60,80,-49.499711999999086
60,90,-49.499711999999086
60,100,-49.499711999999086
60,110,-49.499711999999086
60,120,-49.499711999999086
60,130,-49.499711999999086
60,140,-45.45425454545374
60,150,-36.42829714285643
60,160,-25.999775999999486
60,170,-13.94723368421022
60,180,-1.3105072582675334E-15
70,-180,-1.3105072582675334E-15
70,-170,13.9472336842104
70,-160,25.999775999999876
70,-150,28.7497599999994
70,-140,28.7497599999994
70,-130,28.7497599999994
70,-120,28.7497599999994
70,-110,28.7497599999994
70,-100,28.7497599999994
70,-90,28.7497599999994
70,-80,28.7497599999994
70,-70,28.7497599999994
70,-60,28.7497599999994
70,-50,28.7497599999994
70,-40,28.7497599999994
70,-30,28.7497599999994
70,-20,28.7497599999994
70,-10,28.7497599999994
70,0,-4.3044678932346996E-15
70,10,-28.7497599999994
70,20,-28.7497599999994
70,30,-28.7497599999994
70,40,-28.7497599999994
70,50,-28.7497599999994
70,60,-28.7497599999994
70,70,-28.7497599999994
70,80,-28.7497599999994
70,90,-28.7497599999994
